"","Country.of.Origin","Farm.Name","Lot.Number","Mill","ICO.Number","Company","Altitude","Region","Producer","Number.of.Bags","Bag.Weight","In.Country.Partner","Harvest.Year","Grading.Date","Owner","Variety","Status","Processing.Method","Fragrance...Aroma","Flavor","Aftertaste","Salt...Acid","Bitter...Sweet","Mouthfeel","Uniform.Cup","Clean.Cup","Balance","Overall","Defects","Total.Cup.Points","Moisture","Category.One.Defects","Quakers","Color","Category.Two.Defects","Expiration","Certification.Body","Certification.Address","Certification.Contact","unit_of_measurement","altitude_low_meters","altitude_high_meters","altitude_mean_meters"
"21","Cambodia","pida coffee farm","RO1","pida coffee farm","","babros coffee works","700","mondulkiri","PIDA COFFEE FARM",30,"30 kg","STONE VILLAGE LAB VIETNAM","2024 / 2025","March 24th, 2025","babros coffee works","","Completed","Anaerobic natural",8.17,8.08,8.17,8.25,8.33,8.17,10,10,8.25,8.17,0,85.58,0.12,0,1,"Blue-Green",0,"March 24th, 2026","STONE VILLAGE LAB VIETNAM","393fe6ab9d9f38b17708dfd0d34d0a7c7ba0fb43","06ce85988993ce7c3ba37b82efdb15e9e12ab34d","m",700,700,700
"22","Vietnam","likefarm","R112","likefarm","","hợp tác xã liên kết","950","lâm hà, lâm đồng","Mai Nguyễn Quốc Thắng",1500,"1 kg","HQJ Coffee School","2024 / 2025","July 9th, 2025","mai nguyen quoc thang","TR4","Completed","Natural / Dry",8.33,8.17,8.17,8.33,8.17,8.08,10,10,8.08,8.17,0,85.5,0.11,0,0,"Green",0,"July 9th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",950,950,950
"23","Cameroon","ze filbert","AYOS 2024","martin nantcha","","ayos coffee gmbh","700","ayos cameroon","AYOS Coffee",10,"60 kg","NKG Quality Service (a division of Bernhard Rothfos Intercafé AG)","2024 / 2025","December 30th, 2024","mvongo jean-paul","Timor","Completed","Natural / Dry",8.08,8.17,8,8.25,8.33,8.17,10,10,8.25,8.25,0,85.5,0.109,0,0,"Yellow-green",0,"December 30th, 2025","NKG Quality Service (a division of Bernhard Rothfos Intercafé AG)","af4a68b48050b97dd2c6de644e92cd508d938cbe","0f3d5a58fdfeac6399fd86dea0891a4f8d56f3b3","m",700,700,700
"24","Vietnam","tamba farm","TAMBA 01","dry mill","","tamba company","700-900","gia lai","TAMBA FARM",1,"2 kg","STONE VILLAGE LAB VIETNAM","2024 / 2025","September 22nd, 2025","luu vinh quang","robusta","Completed","Pulped natural / honey",8.25,8.17,8.08,8.08,8.17,8.08,10,10,8.17,8.25,0,85.25,0.121,0,0,"Blue-Green",0,"September 22nd, 2026","STONE VILLAGE LAB VIETNAM","393fe6ab9d9f38b17708dfd0d34d0a7c7ba0fb43","06ce85988993ce7c3ba37b82efdb15e9e12ab34d","m",700,900,800
"25","Vietnam","eatan cooperative","N1","dry","","simexco daklak ltd","850","đắk lắk","Hợp tác xã Ea Tân",35,"60 kg","STONE VILLAGE LAB VIETNAM","2024 / 2025","September 29th, 2025","simexco daklak","TR9","Completed","Natural / Dry",8.5,8.17,8,8.17,8.17,8,10,10,8.08,8.17,0,85.25,0.118,0,0,"Bluish-Green",0,"September 29th, 2026","STONE VILLAGE LAB VIETNAM","393fe6ab9d9f38b17708dfd0d34d0a7c7ba0fb43","06ce85988993ce7c3ba37b82efdb15e9e12ab34d","m",850,850,850
"26","Vietnam","mori coffee farm","R334","mori coffee farm","","dancafe","700","gia lai, chư prong","Trần Thị Bích Ngọc",40000,"1 kg","HQJ Coffee School","2024 / 2025","July 9th, 2025","danh nguyen","TR4","Completed","Natural / Dry",8.25,8.25,8.08,8.25,8.17,8,10,10,8,8.17,0,85.17,0.112,0,0,"Green",0,"July 9th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",700,700,700
"27","Vietnam","tamba company","TAMBA NATURAL VRF","dry mill","","tamba company","700-900","gia lai","Tamba company",50,"60 kg","STONE VILLAGE LAB VIETNAM","2024 / 2025","May 22nd, 2025","luu vinh quang","","Completed","Natural / Dry",8.25,8,8.08,8.17,8.17,8.17,10,10,8.17,8.08,0,85.08,0.115,0,0,"Green",0,"May 22nd, 2026","STONE VILLAGE LAB VIETNAM","393fe6ab9d9f38b17708dfd0d34d0a7c7ba0fb43","06ce85988993ce7c3ba37b82efdb15e9e12ab34d","m",700,900,800
"28","Vietnam","đạm coffee farm","R135","đạm coffee farm","","đạm coffee farm","600","đắk lắk","Nguyễn Thị Trân Châu Ngọc",10000,"1 kg","HQJ Coffee School","2024 / 2025","July 9th, 2025","nguyen thi tran chau ngoc","TR","Completed","Natural / Dry",8.42,8.17,8,8.17,8.17,8,10,10,8.08,8.08,0,85.08,0.111,0,0,"Green",0,"July 9th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",600,600,600
"29","Vietnam","mori coffee farm","R667","mori coffee farm","","dancafe","700","gia lai, chư prong","Trần Thị Bích Ngọc",40000,"1 kg","HQJ Coffee School","2024 / 2025","July 9th, 2025","danh nguyen","TR4","Completed","Washed / Wet",8.17,8.25,8,8.25,8.08,8.08,10,10,8,8.17,0,85,0.107,0,0,"Green",0,"July 9th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",700,700,700
"30","Vietnam","8ro company","R468","8ro company","","8rocompany","800","quảng tín, đăk rlấp, đắk nông","Đinh Tiên Bảo San",25000,"1 kg","HQJ Coffee School","2024 / 2025","July 9th, 2025","đinh tiên bảo san","Mix","Completed","Natural / Dry",8.42,8.17,8,8.25,8.08,8,10,10,8,8.08,0,85,0.11,0,0,"Green",0,"July 9th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",800,800,800
"31","Vietnam","công ty tnhh dịch vụ và thương mại tài đức","R009","công ty tnhh dịch vụ và thương mại tài đức","","dancafe","710","đồi sót, đức minh, đức minh, đắk nông","Lương Thị Hương",8000,"1 kg","HQJ Coffee School","2024 / 2025","July 9th, 2025","danh nguyen","Xanh lùn","Completed","Natural / Dry",8.33,8.17,7.92,8.17,8.17,8,10,10,8.08,8.17,0,85,0.109,0,0,"Green",0,"July 9th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",710,710,710
"32","Vietnam","công ty tnhh cà phê tôi yêu - the cil coffee","R638","công ty tnhh cà phê tôi yêu - the cil coffee","","the cil coffee","700","đức trọng, lâm đồng","Phạm Hồ Nam",10000,"1 kg","HQJ Coffee School","2024 / 2025","July 9th, 2025","nam h. pham","Thiện trường & xanh lùn","Completed","Natural / Dry",8.42,8.17,7.92,8.17,8.08,8.08,10,10,8.08,8.08,0,85,0.11,0,0,"Green",0,"July 9th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",700,700,700
"33","Vietnam","the espresso farm","02","dry mil","","the espresso","900","lâm hà","the espresso farm",30,"60 kg","STONE VILLAGE LAB VIETNAM","2024 / 2025","May 15th, 2025","tran le duc","","Completed","Natural / Dry",8.08,8,8.08,8.08,8.25,8.17,10,10,8.25,8.08,0,85,0.12,0,0,"Green",0,"May 15th, 2026","STONE VILLAGE LAB VIETNAM","393fe6ab9d9f38b17708dfd0d34d0a7c7ba0fb43","06ce85988993ce7c3ba37b82efdb15e9e12ab34d","m",900,900,900
"34","Vietnam","likefarm","R753","likefarm","","hợp tác xã liên kết","950","lâm hà, lâm đồng","Mai Nguyễn Quốc Thắng",4000,"1 kg","HQJ Coffee School","2024 / 2025","July 9th, 2025","mai nguyen quoc thang","TR4","Completed","Washed / Wet",8.25,8.17,8.08,8.08,8.08,8.08,10,10,8.08,8.08,0,84.92,0.11,0,0,"Green",0,"July 9th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",950,950,950
"35","Vietnam","song linh co., ltd","5","song linh","","songlinh co., ltd","650","buon ma thuot, dak lak","Soul Fine Robusta",10,"60 kg","HQJ Coffee School","2024 / 2025","April 7th, 2025","soul fine robusta vietnam","","Completed","Natural / Dry",8.33,8.33,8,8,8,8,10,10,8.08,8.08,0,84.83,0.131,0,0,"Green",0,"April 7th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",650,650,650
